ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,description,Tax class,Weight (lbs),Sale price,Regular price,Tags,Position,Tax status,Images,Attribute 1 name,Attribute 1 value(s),Attribute 2 name,Attribute 2 value(s),Attribute 3 name,Attribute 3 value(s)
56442965393788,variation,TKFBDBGML58,5'8,1,1,visible,"<p data-start=""58"" data-end=""162"">Conçu pour transporter et protéger votre planche au quotidien, ce day bag allie robustesse et praticité.</p>
<p data-start=""164"" data-end=""369"">Il intègre une ouverture velcro permettant de conserver le foil monté, évitant les manipulations à chaque transport. Une poignée de portage et une bandoulière assurent un déplacement facile et confortable.</p>
<p data-start=""371"" data-end=""502"" data-is-last-node="""" data-is-only-node="""">Sa construction renforcée offre un excellent niveau de protection, idéal pour un usage régulier, sur la plage comme en déplacement.</p>",standard,3000,65.00,,['related-product_glide-midlength'],1,shipping,https://cdn.shopify.com/s/files/1/2503/9576/files/Aspect_Ratio_1200x1200_87d56e92-4eb7-4f94-a73f-521fb0966ef4.png?v=1776361869,Size ,5'8,,,,
56442965426556,variation,TKFBDBGML510,5'10,1,1,visible,"<p data-start=""58"" data-end=""162"">Conçu pour transporter et protéger votre planche au quotidien, ce day bag allie robustesse et praticité.</p>
<p data-start=""164"" data-end=""369"">Il intègre une ouverture velcro permettant de conserver le foil monté, évitant les manipulations à chaque transport. Une poignée de portage et une bandoulière assurent un déplacement facile et confortable.</p>
<p data-start=""371"" data-end=""502"" data-is-last-node="""" data-is-only-node="""">Sa construction renforcée offre un excellent niveau de protection, idéal pour un usage régulier, sur la plage comme en déplacement.</p>",standard,3000,65.00,,['related-product_glide-midlength'],2,shipping,https://cdn.shopify.com/s/files/1/2503/9576/files/Aspect_Ratio_1200x1200_87d56e92-4eb7-4f94-a73f-521fb0966ef4.png?v=1776361869,Size ,5'10,,,,
56442965459324,variation,TKFBDBGML60,6'0,1,1,visible,"<p data-start=""58"" data-end=""162"">Conçu pour transporter et protéger votre planche au quotidien, ce day bag allie robustesse et praticité.</p>
<p data-start=""164"" data-end=""369"">Il intègre une ouverture velcro permettant de conserver le foil monté, évitant les manipulations à chaque transport. Une poignée de portage et une bandoulière assurent un déplacement facile et confortable.</p>
<p data-start=""371"" data-end=""502"" data-is-last-node="""" data-is-only-node="""">Sa construction renforcée offre un excellent niveau de protection, idéal pour un usage régulier, sur la plage comme en déplacement.</p>",standard,3000,69.00,,['related-product_glide-midlength'],3,shipping,https://cdn.shopify.com/s/files/1/2503/9576/files/Aspect_Ratio_1200x1200_87d56e92-4eb7-4f94-a73f-521fb0966ef4.png?v=1776361869,Size ,6'0,,,,
56442965492092,variation,TKFBDBGML64,6'4,1,1,visible,"<p data-start=""58"" data-end=""162"">Conçu pour transporter et protéger votre planche au quotidien, ce day bag allie robustesse et praticité.</p>
<p data-start=""164"" data-end=""369"">Il intègre une ouverture velcro permettant de conserver le foil monté, évitant les manipulations à chaque transport. Une poignée de portage et une bandoulière assurent un déplacement facile et confortable.</p>
<p data-start=""371"" data-end=""502"" data-is-last-node="""" data-is-only-node="""">Sa construction renforcée offre un excellent niveau de protection, idéal pour un usage régulier, sur la plage comme en déplacement.</p>",standard,3000,69.00,,['related-product_glide-midlength'],4,shipping,https://cdn.shopify.com/s/files/1/2503/9576/files/Aspect_Ratio_1200x1200_87d56e92-4eb7-4f94-a73f-521fb0966ef4.png?v=1776361869,Size ,6'4,,,,
56442965524860,variation,TKFBDBGML66,6'6,1,1,visible,"<p data-start=""58"" data-end=""162"">Conçu pour transporter et protéger votre planche au quotidien, ce day bag allie robustesse et praticité.</p>
<p data-start=""164"" data-end=""369"">Il intègre une ouverture velcro permettant de conserver le foil monté, évitant les manipulations à chaque transport. Une poignée de portage et une bandoulière assurent un déplacement facile et confortable.</p>
<p data-start=""371"" data-end=""502"" data-is-last-node="""" data-is-only-node="""">Sa construction renforcée offre un excellent niveau de protection, idéal pour un usage régulier, sur la plage comme en déplacement.</p>",standard,3000,69.00,,['related-product_glide-midlength'],5,shipping,https://cdn.shopify.com/s/files/1/2503/9576/files/Aspect_Ratio_1200x1200_87d56e92-4eb7-4f94-a73f-521fb0966ef4.png?v=1776361869,Size ,6'6,,,,
56530360729980,variation,,75,1,1,visible,"<p dir=""ltr""><span>Le Foil Pump Carbon Mast UHM 13mm représente le plus haut niveau de performance de la gamme Takoon en Pump Foil. Ultra rigide, extrêmement réactif et doté d’un profil fin, il offre un contrôle absolu et une glisse maximale pour les riders exigeants.</span></p>
<p dir=""ltr""><span>Grâce à l’utilisation de fibres </span><span>Ultra High Modulus (UHM)</span><span>, il atteint un niveau de rigidité supérieur à tous les autres mâts de la gamme, tout en conservant un profil extrêmement fin de 13 mm.</span></p>
<p dir=""ltr""><span>Cette combinaison unique permet de réduire fortement la traînée tout en conservant une rigidité exceptionnelle en flexion et en torsion. Le résultat sur l’eau est immédiat : une glisse plus longue, un pumping plus efficace, des accélérations franches et un contrôle ultra précis, même à haute vitesse.</span></p>
<p dir=""ltr""><span>Comme tous les mâts Takoon, il bénéficie d’une </span><span>construction monobloc carbone</span><span>, avec la platine et le pied intégrés dans une seule pièce moulée. Cette conception supprime tout jeu mécanique, améliore la transmission d’énergie et garantit une connexion directe entre le rider et le foil.</span></p>
<p dir=""ltr""><span>L’utilisation du carbone </span><span>Ultra High Modulus</span><span> permet d’aller encore plus loin que le carbone haut module classique. Le mât devient plus rigide, plus nerveux et plus performant, offrant un retour instantané et une précision maximale dans chaque mouvement. C’est aujourd’hui notre mât carbone le plus abouti en termes de performance.</span></p>
<p dir=""ltr""><span>Son profil fin de </span><span>13 mm</span><span> en fait un choix idéal pour le pump foil et toutes les pratiques orientées glide, où la réduction de la traînée est essentielle pour maximiser la distance et l’efficacité.</span><span></span></p>
<p dir=""ltr""><span>👉 Comparé au </span><span>HM V2 16 mm</span><span>, déjà orienté glide, le UHM 13 mm pousse encore plus loin la performance avec plus de rigidité et une meilleure efficacité au pumping.</span></p>
<p dir=""ltr""><span>Le mât UHM 13 mm s’adresse aux riders qui veulent tirer le maximum de leur foil, avec un matériel sans compromis, conçu pour repousser les limites en distance, vitesse et efficacité.</span></p>
<p>Chaque mât est livré avec sa housse de protection ainsi qu’un jeu de vis M8 × 25 mm, rangé dans une poche intégrée. Compatible avec toutes les planches équipées de rails US Box.</p>
<p dir=""ltr""><strong>Quel mât choisir ?</strong></p>
<p dir=""ltr""><strong>HR 18 mm – 70 cm — 499 €</strong><span><br></span><span> Le choix durable et accessible. Tolérant et confortable, il offre un excellent rapport qualité/prix pour une pratique polyvalente et intensive.</span></p>
<p dir=""ltr""><strong>HM 18 mm – 75 cm — 759 €</strong><span><br></span><span> Le choix performance. Rigidité maximale et contrôle absolu, idéal pour les grandes ailes (1700+) et les riders de plus de 85 kg.</span></p>
<p><strong>HM V2 16 mm – 70 / 75 cm — 759 €</strong><span><br></span><span> Le choix glisse. Profil fin pour une traînée réduite, des accélérations fluides et des sensations rapides.</span></p>
<p><strong>PUMP UHM 13 mm –  7<meta charset=""utf-8"">5 cm — 899 €</strong><b id=""docs-internal-guid-2a08246f-7fff-1b3d-2312-3d9cdaa2808d""><span><br></span><span> </span></b>Le choix ultime. Rigidité maximale + traînée minimale pour une glisse exceptionnelle, un pumping ultra efficace et des performances sans compromis.</p>",standard,3500,899.00,,"['related-product_foil-pump', 'related-product_foil-pump-pro-front-wing', 'related-product_pump-carbon', 'related-product_pump-wood-80', 'related-product_stab-pump-ha']",1,shipping,https://cdn.shopify.com/s/files/1/2503/9576/files/13mm_edited.png?v=1775208113,Size ,75,,,,
56195412885884,variation,TKFCMHM18MM75,75,1,1,visible,"<p dir=""ltr""><span>Le mât de foil carbone </span><span>HM 18 mm</span><span> est conçu pour les riders qui recherchent le plus haut niveau de </span><span>performance et de précision</span><span> dans leur setup foil. En combinant un profil de 18 mm avec des fibres de carbone haut module, il offre une </span><span>rigidité exceptionnelle</span><span>, un transfert d’énergie très efficace et une connexion extrêmement directe entre le rider, la planche et le foil.</span></p>
<p dir=""ltr""><span>Comme les autres mâts de la gamme, il bénéficie d’une </span><span>construction monobloc complète</span><span>, avec la platine et le pied de mât intégrés dans une seule structure carbone moulée. Cette conception élimine toute connexion mécanique, réduit la flexion et supprime tout jeu, garantissant une précision et une réactivité remarquables.</span></p>
<p dir=""ltr""><span>L’utilisation de carbone haut module augmente considérablement la rigidité en torsion et en flexion. Sur l’eau, cela se traduit par un </span><span>contrôle plus précis, des réactions plus rapides, un pumping plus efficace et des sensations ultra directes</span><span> à chaque manœuvre. Le profil de 18 mm apporte également davantage de structure et de stabilité, permettant au mât de conserver un contrôle maximal même dans des conditions puissantes ou à haute vitesse.</span></p>
<p dir=""ltr""><span>Grâce à cette rigidité élevée, le HM 18 mm est particulièrement adapté à l’utilisation avec des </span><span>ailes avant de grande envergure (à partir de 1700 cm²)</span><span> ainsi qu’aux </span><span>riders de plus de 85 kg</span><span>, qui génèrent davantage de charge sur le foil et nécessitent un mât plus rigide pour conserver précision et contrôle.</span></p>
<p dir=""ltr""><span>👉 Comparé au HR 18 mm, plus accessible, le HM 18 mm se positionne clairement comme une </span><span>option performance</span><span>, privilégiée dès que les contraintes augmentent (grandes ailes, puissance, gabarits lourds).</span></p>
<p dir=""ltr""><span>Élément structurel central du foil, le mât joue un rôle majeur dans la glisse, le confort, le support et la réactivité. Le </span><span>HM 18 mm</span><span> est l’option la plus orientée performance de la gamme, destinée aux riders avancés qui recherchent une </span><span>précision absolue et un retour sans compromis</span><span>.</span></p>
<p dir=""ltr""><span>Chaque mât est livré avec sa </span><span>housse de protection</span><span> ainsi qu’un jeu de </span><span>vis M8 × 25 mm</span><span>, rangé dans une poche intégrée à la housse. Il est compatible avec toutes les planches équipées de rails </span><span>US Box</span><span>.</span></p>
<p dir=""ltr""><strong>Quel mât choisir ?</strong></p>
<p dir=""ltr""><strong>HR 18 mm – 70 cm — 499 €</strong><span><br></span><span> Le choix </span><span>durable et accessible</span><span>. Tolérant et confortable, il offre un excellent rapport qualité/prix pour une pratique polyvalente et intensive.</span></p>
<p dir=""ltr""><strong>HM 18 mm – 75 cm — 759 €</strong><span><br></span><span>Le choix </span><span>performance</span><span>. Rigidité maximale et contrôle absolu, idéal pour les grandes ailes (1700+) et les riders de plus de 85 kg.</span></p>
<p><b id=""docs-internal-guid-3e4aa5e2-7fff-2b1b-cf24-728d5e963a5c""><span>HM V2 16 mm – 70 / 75 cm — <meta charset=""utf-8"">
<strong>759 €</strong></span><span><br></span></b>Le choix glisse. Profil fin pour une traînée réduite, des accélérations fluides et des sensations rapides.</p>
<p><strong>Pump UHM 13 mm – 75 cm — 89<b id=""docs-internal-guid-3dac59d0-7fff-9507-686a-e5ec9588b7d4""><span>9 €</span></b><br data-start=""29"" data-end=""32""></strong>Le choix ultime. Ultra rigide et ultra rapide, il offre une traînée minimale et des performances maximales en pumping et en glide.</p>",standard,3500,759.00,,"['related-product_foil-pump', 'related-product_foil-pump-pro-front-wing', 'related-product_pump-carbon', 'related-product_pump-wood-80', 'related-product_stab-pump-ha']",1,shipping,https://cdn.shopify.com/s/files/1/2503/9576/files/18hm_edited.png?v=1775208092,Size,75,,,,
56219847131516,variation,,1600,0,1,visible,,standard,0,45.00,,[],1,shipping,https://cdn.shopify.com/s/files/1/2503/9576/files/Pump-One---Bag-1600.png?v=1773238990,Size,1600,,,,
56219847164284,variation,TKFPO1800COVER,1800,1,1,visible,,standard,0,45.00,,[],2,shipping,https://cdn.shopify.com/s/files/1/2503/9576/files/Pump-One---Bag-1800.png?v=1773238990,Size,1800,,,,
56219847197052,variation,,2000,0,1,visible,,standard,0,45.00,,[],3,shipping,https://cdn.shopify.com/s/files/1/2503/9576/files/Pump-One---Bag-2000.png?v=1773238990,Size,2000,,,,
